Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,Fix_quality,UTM_easting,UTM_northing,UTC,Zone,Letter
1677019225.132479,735,224025,0,GPS1_Frame,42.30797576904297,-71.10737609863281,28.0,0.7400000095367432,5,326312.1875,4686122.0,224025.0,19,T
1677019226.1037812,736,224026,0,GPS1_Frame,42.3079719543457,-71.10736846923828,28.0,0.7400000095367432,5,326312.90625,4686121.5,224026.0,19,T
1677019227.1496634,737,224027,0,GPS1_Frame,42.30796813964844,-71.10736846923828,28.0,0.7400000095367432,5,326313.375,4686121.0,224027.0,19,T
1677019228.1073217,738,224028,0,GPS1_Frame,42.30796432495117,-71.10736083984375,28.100000381469727,0.7400000095367432,5,326313.9375,4686120.5,224028.0,19,T
1677019229.1373112,739,224029,0,GPS1_Frame,42.307960510253906,-71.10735321044922,28.5,0.699999988079071,5,326314.59375,4686120.5,224029.0,19,T
1677019230.108445,740,224030,0,GPS1_Frame,42.307960510253906,-71.10734558105469,28.5,0.7300000190734863,5,326315.1875,4686120.0,224030.0,19,T
1677019231.135305,741,224031,0,GPS1_Frame,42.307952880859375,-71.10733795166016,28.5,0.7699999809265137,5,326315.65625,4686119.5,224031.0,19,T
1677019232.103332,742,224032,0,GPS1_Frame,42.307952880859375,-71.10733032226562,28.5,0.7400000095367432,5,326316.25,4686119.0,224032.0,19,T
1677019233.1162102,743,224033,0,GPS1_Frame,42.30794906616211,-71.1073226928711,28.5,0.7200000286102295,5,326316.875,4686118.5,224033.0,19,T
1677019234.1011815,744,224034,0,GPS1_Frame,42.307945251464844,-71.10731506347656,28.5,0.7400000095367432,5,326317.5625,4686118.0,224034.0,19,T
1677019235.12714,745,224035,0,GPS1_Frame,42.30793762207031,-71.10730743408203,28.5,0.7400000095367432,5,326318.21875,4686117.5,224035.0,19,T
1677019236.1043787,746,224036,0,GPS1_Frame,42.30793380737305,-71.10729217529297,28.5,0.7400000095367432,5,326318.96875,4686117.0,224036.0,19,T
1677019237.1322634,747,224037,0,GPS1_Frame,42.30792999267578,-71.10728454589844,28.600000381469727,0.7200000286102295,5,326319.65625,4686116.5,224037.0,19,T
1677019238.1033144,748,224038,0,GPS1_Frame,42.307926177978516,-71.1072769165039,28.600000381469727,0.7400000095367432,5,326320.25,4686116.0,224038.0,19,T
1677019239.1358724,749,224039,0,GPS1_Frame,42.307918548583984,-71.10726928710938,28.600000381469727,0.7400000095367432,5,326320.90625,4686115.5,224039.0,19,T
1677019240.1054323,750,224040,0,GPS1_Frame,42.30791473388672,-71.10726165771484,28.600000381469727,0.7400000095367432,5,326321.53125,4686115.0,224040.0,19,T
1677019241.138441,751,224041,0,GPS1_Frame,42.30791091918945,-71.10725402832031,28.600000381469727,0.7400000095367432,5,326322.28125,4686114.5,224041.0,19,T
1677019242.1132078,752,224042,0,GPS1_Frame,42.30790710449219,-71.10724639892578,28.700000762939453,0.7400000095367432,5,326322.9375,4686114.0,224042.0,19,T
1677019243.1312296,753,224043,0,GPS1_Frame,42.30790328979492,-71.10723876953125,28.700000762939453,0.7400000095367432,5,326323.59375,4686113.5,224043.0,19,T
1677019244.1001115,754,224044,0,GPS1_Frame,42.307899475097656,-71.10723114013672,28.700000762939453,0.7400000095367432,5,326324.21875,4686113.0,224044.0,19,T
1677019245.124051,755,224045,0,GPS1_Frame,42.30789566040039,-71.10722351074219,28.600000381469727,0.7400000095367432,5,326324.84375,4686113.0,224045.0,19,T
1677019246.104075,756,224046,0,GPS1_Frame,42.30789566040039,-71.10721588134766,28.600000381469727,0.7400000095367432,5,326325.5625,4686112.5,224046.0,19,T
1677019247.13513,757,224047,0,GPS1_Frame,42.307891845703125,-71.10720825195312,28.600000381469727,0.7300000190734863,5,326326.125,4686112.0,224047.0,19,T
1677019248.1062067,758,224048,0,GPS1_Frame,42.30788803100586,-71.1072006225586,28.600000381469727,0.7300000190734863,5,326326.65625,4686111.5,224048.0,19,T
1677019249.132321,759,224049,0,GPS1_Frame,42.307884216308594,-71.10719299316406,28.5,0.7699999809265137,5,326327.25,4686111.0,224049.0,19,T
1677019250.111559,760,224050,0,GPS1_Frame,42.30788040161133,-71.10718536376953,28.5,0.7699999809265137,5,326327.84375,4686111.0,224050.0,19,T
1677019251.1382377,761,224051,0,GPS1_Frame,42.30787658691406,-71.107177734375,28.5,0.7300000190734863,5,326328.4375,4686110.5,224051.0,19,T
1677019252.1024005,762,224052,0,GPS1_Frame,42.3078727722168,-71.10717010498047,28.5,0.7300000190734863,5,326328.875,4686110.0,224052.0,19,T
1677019253.1300912,763,224053,0,GPS1_Frame,42.30786895751953,-71.10717010498047,28.5,0.7300000190734863,5,326328.9375,4686109.5,224053.0,19,T
1677019254.104265,764,224054,0,GPS1_Frame,42.307865142822266,-71.107177734375,28.700000762939453,0.7300000190734863,5,326328.75,4686109.0,224054.0,19,T
1677019255.1324315,765,224055,0,GPS1_Frame,42.307861328125,-71.107177734375,28.700000762939453,0.7300000190734863,5,326328.375,4686108.5,224055.0,19,T
1677019256.102236,766,224056,0,GPS1_Frame,42.30785369873047,-71.10718536376953,28.700000762939453,0.7699999809265137,5,326328.0625,4686108.0,224056.0,19,T
1677019257.1320307,767,224057,0,GPS1_Frame,42.3078498840332,-71.10718536376953,28.700000762939453,0.699999988079071,5,326327.65625,4686107.5,224057.0,19,T
1677019258.112093,768,224058,0,GPS1_Frame,42.30784606933594,-71.10719299316406,28.799999237060547,0.699999988079071,5,326327.09375,4686107.0,224058.0,19,T
1677019259.1411052,769,224059,0,GPS1_Frame,42.307838439941406,-71.1072006225586,28.700000762939453,0.7400000095367432,5,326326.5625,4686106.5,224059.0,19,T
1677019260.1060534,770,224100,0,GPS1_Frame,42.30783462524414,-71.10720825195312,28.600000381469727,0.699999988079071,5,326326.09375,4686106.0,224100.0,19,T
1677019261.1310463,771,224101,0,GPS1_Frame,42.307830810546875,-71.10720825195312,28.5,0.699999988079071,5,326325.71875,4686105.5,224101.0,19,T
1677019262.1041443,772,224102,0,GPS1_Frame,42.307823181152344,-71.10721588134766,28.600000381469727,0.7400000095367432,5,326325.34375,4686104.5,224102.0,19,T
1677019263.1241772,773,224103,0,GPS1_Frame,42.30781936645508,-71.10722351074219,28.600000381469727,0.699999988079071,5,326324.875,4686104.0,224103.0,19,T
1677019264.1074324,774,224104,0,GPS1_Frame,42.30781555175781,-71.10722351074219,28.600000381469727,0.699999988079071,5,326324.53125,4686104.0,224104.0,19,T
1677019265.1380587,775,224105,0,GPS1_Frame,42.30781173706055,-71.10723114013672,28.600000381469727,0.7400000095367432,5,326324.15625,4686103.5,224105.0,19,T
1677019266.1121693,776,224106,0,GPS1_Frame,42.30780792236328,-71.10723114013672,28.600000381469727,0.699999988079071,5,326323.75,4686103.0,224106.0,19,T
1677019267.126501,777,224107,0,GPS1_Frame,42.307804107666016,-71.10723876953125,28.600000381469727,0.699999988079071,5,326323.34375,4686102.5,224107.0,19,T
1677019268.1091082,778,224108,0,GPS1_Frame,42.30780029296875,-71.10724639892578,28.700000762939453,0.7400000095367432,5,326322.9375,4686102.0,224108.0,19,T
1677019269.1370697,779,224109,0,GPS1_Frame,42.30779266357422,-71.10724639892578,28.600000381469727,0.699999988079071,5,326322.4375,4686101.5,224109.0,19,T
1677019270.1043186,780,224110,0,GPS1_Frame,42.30778884887695,-71.10725402832031,28.600000381469727,0.699999988079071,5,326322.0,4686101.0,224110.0,19,T
1677019271.1241233,781,224111,0,GPS1_Frame,42.30778503417969,-71.10726165771484,28.600000381469727,0.699999988079071,5,326321.5625,4686100.5,224111.0,19,T
1677019272.1201046,782,224112,0,GPS1_Frame,42.30778121948242,-71.10726165771484,28.700000762939453,0.699999988079071,5,326321.0625,4686100.0,224112.0,19,T
1677019273.1570337,783,224113,0,GPS1_Frame,42.30778121948242,-71.10726928710938,28.700000762939453,0.699999988079071,5,326320.53125,4686100.0,224113.0,19,T
1677019274.1103723,784,224114,0,GPS1_Frame,42.30778503417969,-71.1072769165039,28.700000762939453,0.699999988079071,5,326319.90625,4686100.5,224114.0,19,T
1677019275.1330042,785,224115,0,GPS1_Frame,42.30778884887695,-71.10728454589844,28.700000762939453,0.699999988079071,5,326319.21875,4686101.0,224115.0,19,T
1677019276.1089714,786,224116,0,GPS1_Frame,42.30779266357422,-71.10729217529297,28.899999618530273,0.699999988079071,5,326318.65625,4686101.5,224116.0,19,T
1677019277.128965,787,224117,0,GPS1_Frame,42.307796478271484,-71.1072998046875,28.899999618530273,0.699999988079071,5,326318.0625,4686102.0,224117.0,19,T
1677019278.1181612,788,224118,0,GPS1_Frame,42.30780029296875,-71.10730743408203,29.0,0.699999988079071,5,326317.34375,4686102.5,224118.0,19,T
1677019279.126058,789,224119,0,GPS1_Frame,42.307804107666016,-71.10731506347656,29.100000381469727,0.699999988079071,5,326316.71875,4686103.0,224119.0,19,T
1677019280.1111565,790,224120,0,GPS1_Frame,42.30781173706055,-71.1073226928711,29.0,0.699999988079071,5,326316.09375,4686103.5,224120.0,19,T
1677019281.1350543,791,224121,0,GPS1_Frame,42.30781555175781,-71.10733795166016,29.100000381469727,0.699999988079071,5,326315.34375,4686104.0,224121.0,19,T
1677019282.1123488,792,224122,0,GPS1_Frame,42.30781936645508,-71.10734558105469,29.100000381469727,0.699999988079071,5,326314.71875,4686104.5,224122.0,19,T
1677019283.1260839,793,224123,0,GPS1_Frame,42.307823181152344,-71.10735321044922,29.200000762939453,0.699999988079071,5,326314.09375,4686105.0,224123.0,19,T
1677019284.1130102,794,224124,0,GPS1_Frame,42.30782699584961,-71.10736083984375,29.200000762939453,0.699999988079071,5,326313.5,4686105.5,224124.0,19,T
1677019285.127164,795,224125,0,GPS1_Frame,42.30783462524414,-71.10736846923828,29.299999237060547,0.699999988079071,5,326312.875,4686106.0,224125.0,19,T
1677019286.1081283,796,224126,0,GPS1_Frame,42.307838439941406,-71.10737609863281,29.299999237060547,0.699999988079071,5,326312.25,4686106.5,224126.0,19,T
1677019287.130193,797,224127,0,GPS1_Frame,42.30784225463867,-71.10738372802734,29.5,0.699999988079071,5,326311.59375,4686107.0,224127.0,19,T
1677019288.1092846,798,224128,0,GPS1_Frame,42.3078498840332,-71.10739135742188,29.700000762939453,0.699999988079071,5,326310.875,4686107.5,224128.0,19,T
1677019289.1253214,799,224129,0,GPS1_Frame,42.30785369873047,-71.1073989868164,29.799999237060547,0.699999988079071,5,326310.28125,4686108.5,224129.0,19,T
1677019290.1246753,800,224130,0,GPS1_Frame,42.307857513427734,-71.10740661621094,29.799999237060547,0.699999988079071,5,326309.6875,4686109.0,224130.0,19,T
1677019291.1300044,801,224131,0,GPS1_Frame,42.307861328125,-71.10741424560547,29.899999618530273,0.699999988079071,5,326309.0,4686109.5,224131.0,19,T
1677019292.114082,802,224132,0,GPS1_Frame,42.307865142822266,-71.107421875,30.0,0.699999988079071,5,326308.4375,4686110.0,224132.0,19,T
1677019293.1324525,803,224133,0,GPS1_Frame,42.3078727722168,-71.10742950439453,30.0,0.699999988079071,5,326307.78125,4686110.5,224133.0,19,T
1677019294.113321,804,224134,0,GPS1_Frame,42.30787658691406,-71.10743713378906,30.100000381469727,0.699999988079071,5,326307.09375,4686111.0,224134.0,19,T
1677019295.1368482,805,224135,0,GPS1_Frame,42.30788040161133,-71.1074447631836,30.100000381469727,0.699999988079071,5,326306.46875,4686111.5,224135.0,19,T
1677019296.1126974,806,224136,0,GPS1_Frame,42.307884216308594,-71.10745239257812,30.100000381469727,0.699999988079071,5,326305.96875,4686112.0,224136.0,19,T
1677019297.1231656,807,224137,0,GPS1_Frame,42.30788803100586,-71.10746002197266,30.100000381469727,0.699999988079071,5,326305.40625,4686112.5,224137.0,19,T
1677019298.108878,808,224138,0,GPS1_Frame,42.307891845703125,-71.10746002197266,30.100000381469727,0.7300000190734863,5,326305.28125,4686113.0,224138.0,19,T
1677019299.1419523,809,224139,0,GPS1_Frame,42.307899475097656,-71.10746002197266,30.0,0.7300000190734863,5,326305.53125,4686113.5,224139.0,19,T
1677019300.1181622,810,224140,0,GPS1_Frame,42.30790710449219,-71.10745239257812,30.100000381469727,0.699999988079071,5,326305.875,4686114.5,224140.0,19,T
1677019301.1241868,811,224141,0,GPS1_Frame,42.30791091918945,-71.1074447631836,30.0,0.6800000071525574,5,326306.375,4686115.0,224141.0,19,T
1677019302.1080072,812,224142,0,GPS1_Frame,42.30791473388672,-71.1074447631836,30.0,0.6800000071525574,5,326306.9375,4686115.5,224142.0,19,T
1677019303.1263142,813,224143,0,GPS1_Frame,42.30792236328125,-71.10743713378906,30.0,0.6800000071525574,5,326307.46875,4686116.0,224143.0,19,T
1677019304.1120615,814,224144,0,GPS1_Frame,42.307926177978516,-71.10742950439453,29.899999618530273,0.6800000071525574,5,326307.96875,4686116.5,224144.0,19,T
1677019305.1281865,815,224145,0,GPS1_Frame,42.30792999267578,-71.107421875,29.799999237060547,0.6800000071525574,5,326308.40625,4686117.0,224145.0,19,T
1677019306.1061423,816,224146,0,GPS1_Frame,42.30793762207031,-71.107421875,29.799999237060547,0.6800000071525574,5,326308.875,4686117.5,224146.0,19,T
1677019307.1219597,817,224147,0,GPS1_Frame,42.30794143676758,-71.10741424560547,29.700000762939453,0.6800000071525574,5,326309.3125,4686118.0,224147.0,19,T
1677019308.1121507,818,224148,0,GPS1_Frame,42.307945251464844,-71.10740661621094,29.600000381469727,0.6800000071525574,5,326309.78125,4686118.5,224148.0,19,T
1677019309.12601,819,224149,0,GPS1_Frame,42.307952880859375,-71.10740661621094,29.5,0.6800000071525574,5,326310.1875,4686119.5,224149.0,19,T
1677019310.1109803,820,224150,0,GPS1_Frame,42.30795669555664,-71.1073989868164,29.399999618530273,0.6800000071525574,5,326310.625,4686120.0,224150.0,19,T
1677019311.1378884,821,224151,0,GPS1_Frame,42.30796432495117,-71.10739135742188,29.299999237060547,0.7300000190734863,5,326311.0625,4686120.5,224151.0,19,T
1677019312.1160138,822,224152,0,GPS1_Frame,42.30796813964844,-71.10738372802734,29.299999237060547,0.7300000190734863,5,326311.5,4686121.0,224152.0,19,T
1677019313.1380136,823,224153,0,GPS1_Frame,42.3079719543457,-71.10738372802734,29.200000762939453,0.7200000286102295,5,326311.96875,4686121.5,224153.0,19,T
1677019314.1059716,824,224154,0,GPS1_Frame,42.307979583740234,-71.10737609863281,29.100000381469727,0.6800000071525574,5,326312.4375,4686122.0,224154.0,19,T
1677019315.122857,825,224155,0,GPS1_Frame,42.3079833984375,-71.10736846923828,29.200000762939453,0.6800000071525574,5,326312.875,4686123.0,224155.0,19,T
1677019316.1029515,826,224156,0,GPS1_Frame,42.307987213134766,-71.10736846923828,29.100000381469727,0.6800000071525574,5,326313.15625,4686123.0,224156.0,19,T
