Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,Fix_quality,UTM_easting,UTM_northing,UTC,Zone,Letter
1677018486.1001644,3,222806,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.6800000071525574,4,326315.78125,4686126.5,222806.0,19,T
1677018487.1207435,4,222807,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.75,4,326315.78125,4686126.5,222807.0,19,T
1677018488.0947816,5,222808,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7799999713897705,4,326315.78125,4686126.5,222808.0,19,T
1677018489.1247785,6,222809,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222809.0,19,T
1677018490.0953262,7,222810,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.700000762939453,0.7300000190734863,4,326315.78125,4686126.5,222810.0,19,T
1677018491.1219676,8,222811,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222811.0,19,T
1677018492.0986838,9,222812,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.700000762939453,0.7300000190734863,4,326315.78125,4686126.5,222812.0,19,T
1677018493.1353343,10,222813,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.700000762939453,0.7300000190734863,4,326315.78125,4686126.5,222813.0,19,T
1677018494.0966127,11,222814,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7799999713897705,4,326315.78125,4686126.5,222814.0,19,T
1677018495.131282,12,222815,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222815.0,19,T
1677018496.0980332,13,222816,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.700000762939453,0.7300000190734863,4,326315.78125,4686126.5,222816.0,19,T
1677018497.1269066,14,222817,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222817.0,19,T
1677018498.0935004,15,222818,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222818.0,19,T
1677018499.1216433,16,222819,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222819.0,19,T
1677018500.0978107,17,222820,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7799999713897705,4,326315.78125,4686126.5,222820.0,19,T
1677018501.1228495,18,222821,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.6700000166893005,4,326315.78125,4686126.5,222821.0,19,T
1677018502.0978062,19,222822,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.799999237060547,0.7300000190734863,4,326315.78125,4686126.5,222822.0,19,T
1677018503.1261632,20,222823,0,GPS1_Frame,42.30801773071289,-71.10733795166016,26.700000762939453,0.6800000071525574,4,326315.78125,4686126.5,222823.0,19,T
