Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675710865.1788125,0,69265,0,GPS1_Frame,42.202292,-71.054259,4.1,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710866.178237,0,69266,0,GPS1_Frame,42.202292,-71.054259,4.1,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710867.1766148,0,69267,0,GPS1_Frame,42.202292,-71.054259,4.1,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710868.1764188,0,69268,0,GPS1_Frame,42.202292,-71.054259,4.1,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710869.178184,0,69269,0,GPS1_Frame,42.202292,-71.054259,4.1,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710870.17804,0,69270,0,GPS1_Frame,42.202292,-71.054259,4.1,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710871.177391,0,69271,0,GPS1_Frame,42.202292,-71.054259,4.2,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710872.1777983,0,69272,0,GPS1_Frame,42.202292,-71.054259,4.2,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710873.1769466,0,69273,0,GPS1_Frame,42.202292,-71.054259,4.2,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710874.178163,0,69274,0,GPS1_Frame,42.202292,-71.054259,4.2,0.9,330407.4488689889,4674279.622159527,0.0,19,T
1675710875.1776128,0,69275,0,GPS1_Frame,42.202292,-71.05426000000001,4.2,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710876.1775777,0,69276,0,GPS1_Frame,42.202292,-71.05426000000001,4.3,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710877.1789298,0,69277,0,GPS1_Frame,42.202292,-71.05426000000001,4.3,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710878.1783884,0,69278,0,GPS1_Frame,42.202292,-71.05426000000001,4.4,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710879.1776183,0,69279,0,GPS1_Frame,42.202292,-71.05426000000001,4.4,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710880.177544,0,69280,0,GPS1_Frame,42.202292,-71.05426000000001,4.4,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710881.1780293,0,69281,0,GPS1_Frame,42.202292,-71.05426000000001,4.5,0.9,330407.3663089208,4674279.624148815,0.0,19,T
1675710882.2071507,0,69282,0,GPS1_Frame,42.202293,-71.05426000000001,4.5,0.9,330407.3689844322,4674279.735188679,0.0,19,T
1675710883.1776633,0,69283,0,GPS1_Frame,42.202293,-71.05426000000001,4.5,0.9,330407.3689844322,4674279.735188679,0.0,19,T
1675710884.2073114,0,69284,0,GPS1_Frame,42.202293,-71.054261,4.5,0.9,330407.2864243696,4674279.737177968,0.0,19,T
